shop_id,shop_postcode,warehouse_postcode,distance_km
2,AB10,AB10,0.0
3,AB11,AB11,0.0
4,AB12,AB12,0.0
5,AB13,AB13,0.0
6,AB14,AB14,0.0
7,AB15,AB15,0.0
8,AB16,AB16,0.0
9,AB21,AB21,0.0
10,AB22,AB22,0.0
11,AB23,AB23,0.0
12,AB24,AB24,0.0
13,AB25,AB25,0.0
14,AB30,AB30,0.0
15,AB31,AB31,0.0
16,AB32,AB32,0.0
17,AB33,AB33,0.0
18,AB34,AB34,0.0
19,AB35,AB35,0.0
20,AB36,AB36,0.0
21,AB37,AB37,0.0
22,AB38,AB38,0.0
23,AB39,AB39,0.0
24,AB41,AB41,0.0
25,AB42,AB42,0.0
26,AB43,AB43,0.0
27,AB44,AB44,0.0
28,AB45,AB45,0.0
29,AB51,AB51,0.0
30,AB52,AB52,0.0
31,AB53,AB53,0.0
32,AB54,AB54,0.0
33,AB55,AB55,0.0
34,AB56,AB56,0.0
35,AL1,AL1,0.0
36,AL10,AL10,0.0
37,AL2,AL2,0.0
38,AL3,AL3,0.0
39,AL4,AL4,0.0
40,AL5,AL5,0.0
41,AL6,AL6,0.0
42,AL7,AL7,0.0
43,AL8,AL8,0.0
44,AL9,AL9,0.0
45,B1,B1,0.0
46,B10,B10,0.0
47,B11,B11,0.0
48,B12,B12,0.0
49,B13,B13,0.0
50,B14,B14,0.0
51,B15,B15,0.0
52,B16,B16,0.0
53,B17,B17,0.0
54,B18,B18,0.0
55,B19,B19,0.0
56,B2,B2,0.0
57,B20,B20,0.0
58,B21,B21,0.0
59,B23,B23,0.0
60,B24,B24,0.0
61,B25,B25,0.0
62,B26,B26,0.0
63,B27,B27,0.0
64,B28,B28,0.0
65,B29,B29,0.0
66,B3,B3,0.0
67,B30,B30,0.0
68,B31,B31,0.0
69,B32,B32,0.0
70,B33,B33,0.0
71,B34,B34,0.0
72,B35,B35,0.0
73,B36,B36,0.0
74,B37,B37,0.0
75,B38,B38,0.0
76,B4,B4,0.0
77,B40,B40,0.0
78,B42,B42,0.0
79,B43,B43,0.0
80,B44,B44,0.0
81,B45,B45,0.0
82,B46,B46,0.0
83,B47,B47,0.0
84,B48,B48,0.0
85,B49,B49,0.0
86,B5,B5,0.0
87,B50,B50,0.0
88,B6,B6,0.0
89,B60,B60,0.0
90,B61,B61,0.0
91,B62,B62,0.0
92,B63,B63,0.0
93,B64,B64,0.0
94,B65,B65,0.0
95,B66,B66,0.0
96,B67,B67,0.0
97,B68,B68,0.0
98,B69,B69,0.0
99,B7,B7,0.0
100,B70,B70,0.0
101,B71,B71,0.0
102,B72,B72,0.0
103,B73,B73,0.0
104,B74,B74,0.0
105,B75,B75,0.0
106,B76,B76,0.0
107,B77,B77,0.0
108,B78,B78,0.0
109,B79,B79,0.0
110,B8,B8,0.0
111,B80,B80,0.0
112,B9,B9,0.0
113,B90,B90,0.0
114,B91,B91,0.0
115,B92,B92,0.0
116,B93,B93,0.0
117,B94,B94,0.0
118,B95,B95,0.0
119,B96,B96,0.0
120,B97,B97,0.0
121,B98,B98,0.0
122,BA1,BA1,0.0
123,BA10,BA10,0.0
124,BA11,BA11,0.0
125,BA12,BA12,0.0
126,BA13,BA13,0.0
127,BA14,BA14,0.0
128,BA15,BA15,0.0
129,BA16,BA16,0.0
130,BA2,BA2,0.0
131,BA20,BA20,0.0
132,BA21,BA21,0.0
133,BA22,BA22,0.0
134,BA3,BA3,0.0
135,BA4,BA4,0.0
136,BA5,BA5,0.0
137,BA6,BA6,0.0
138,BA7,BA7,0.0
139,BA8,BA8,0.0
140,BA9,BA9,0.0
141,BB1,BB1,0.0
142,BB10,BB10,0.0
143,BB11,BB11,0.0
144,BB12,BB12,0.0
145,BB18,BB18,0.0
146,BB2,BB2,0.0
147,BB3,BB3,0.0
148,BB4,BB4,0.0
149,BB5,BB5,0.0
150,BB6,BB6,0.0
151,BB7,BB7,0.0
152,BB8,BB8,0.0
153,BB9,BB9,0.0
154,BD1,BD1,0.0
155,BD10,BD10,0.0
156,BD11,BD11,0.0
157,BD12,BD12,0.0
158,BD13,BD13,0.0
159,BD14,BD14,0.0
160,BD15,BD15,0.0
161,BD16,BD16,0.0
162,BD17,BD17,0.0
163,BD18,BD18,0.0
164,BD19,BD19,0.0
165,BD2,BD2,0.0
166,BD20,BD20,0.0
167,BD21,BD21,0.0
168,BD22,BD22,0.0
169,BD23,BD23,0.0
170,BD24,BD24,0.0
171,BD3,BD3,0.0
172,BD4,BD4,0.0
173,BD5,BD5,0.0
174,BD6,BD6,0.0
175,BD7,BD7,0.0
176,BD8,BD8,0.0
177,BD9,BD9,0.0
178,BH1,BH1,0.0
179,BH10,BH10,0.0
180,BH11,BH11,0.0
181,BH12,BH12,0.0
182,BH13,BH13,0.0
183,BH14,BH14,0.0
184,BH15,BH15,0.0
185,BH16,BH16,0.0
186,BH17,BH17,0.0
187,BH18,BH18,0.0
188,BH19,BH19,0.0
189,BH2,BH2,0.0
190,BH20,BH20,0.0
191,BH21,BH21,0.0
192,BH22,BH22,0.0
193,BH23,BH23,0.0
194,BH24,BH24,0.0
195,BH25,BH25,0.0
196,BH3,BH3,0.0
197,BH31,BH31,0.0
